section,text,page,chunk_id,is_table
Root,**Open Access Original** Cureus **Article**,1,1,False
Root,**DOI:** 10.7759/cureus.21055,1,2,False
Root,**Review began** 11/26/2021 **Review ended** 01/05/2022 **Published** 01/09/2022,1,3,False
Root,"**Â© Copyright** 2022 Baloch et al. This is an open access article distributed under the terms of the Creative Commons Attribution License CC-BY 4.0., which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",1,4,False
**Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit**,"Sadam H. Baloch  , Ikramullah Shaikh  , Murtaza A. Gowa  , Pooja D. Lohano  , Mohsina N. Ibrahim 1 1 2 1 3",1,5,False
**Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit**,"Pediatric Medicine, National Institute of Child Health, Karachi, PAK 2. Pediatric Critical Care, National Institute of Child Health, Karachi, PAK 3. Pediatrics and Endocrinology, National Institute of Child Health, Karachi, PAK",1,6,False
**Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit**,"**Corresponding author:** Sadam H. Baloch, balochsadam126@gmail.com",1,7,False
**Abstract**,Objective: To assess and compare the diagnostic accuracy of the Pediatric Risk of Mortality (PRISM) III score and Pediatric Sequential Organ Failure Assessment (p-SOFA) for the prediction of mortality in critically ill children.,1,8,False
**Abstract**,"Methodology: This was a cross-validation study conducted at the Pediatric Intensive Care Unit (PICU) of the National Institute of Child Health Karachi from February 2021 to July 2021. Two hundred eighty-six critically ill children of age one month to 15 years of either gender staying in PICU for more than 24 hours were included. Within 24 hours of admission, the p-SOFA and PRISM III 24 scores were calculated for all eligible children. The outcome of the study was mortality within 30 days of PICU admitted children. Data were analyzed using Statistical Package for the Social Sciences (SPSS) version 23.",1,9,False
**Abstract**,"Results: The median age was 24 months (range: 1-144 months). The 30-day mortality was estimated as 57%. The p-SOFA and PRISM scores were significantly greater in children who did not survive than survivors. The maximum p-SOFA score (area under the curve (AUC)=0.81, 95% CI=0.76-0.86, p=0.001) and PRISM III 24 score (AUC=0.75, 95% CI=0.69-0.81, p=0.001) had good discrimination for 30-day mortality. For the prediction of 30-day mortality at the cut-off value of p-SOFA>2, the sensitivity was 93.87%, specificity was 38.21%, and accuracy was 69.93%. Whereas at the cut-off value of PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, and accuracy was 65.03%.",1,10,False
**Abstract**,Conclusion: The p-SOFA score is a good predictor for 30-day mortality in critically ill children and had better accuracy than the PRISM III 24 score.,1,11,False
"**Categories:** Pediatrics, Other","**Keywords:** pediatric risk of mortality (prism) iii score, pediatric sequential organ failure assessment (p-sofa), pediatric intensive care unit, mortality, children",1,12,False
**Introduction**,"The pediatric intensive care unit (PICU) plays an important role in delivering demanding and required care to seriously ill children. In both developing and developed countries, PICU children have a considerably higher risk of morbidity and death [1,2]. Quality and quantities of PICUs are improving in developing countries like Pakistan, but it is an uphill process, as the units need modern, expensive equipment and a large highly trained staff. So there is a need for time to employ methods, techniques, and scoring systems that are predictive of mortality and morbidity risk in these patients, thus allowing these systems to assist in timely and focused decisions regarding the deployment of different expertise and resources, to produce highly productive results [3,4].",1,13,False
**Introduction**,"Several prognostic scoring systems like Pediatric Index of Mortality (PIM and PIM2), Pediatric Risk of Mortality (PRISM, PRISM III), Sequential Organ Failure Assessment (SOFA), Pediatric Sequential Organ Failure Assessment Score (p-SOFA), and the Paediatric Logistic Organ Dysfunction (PELOD) score have been developed to predict PICU children's morbidity and death, which can be extremely helpful in treatment planning [1,2,5-9]. The PRISM III 24 score is a commonly used system that is used to evaluate various scoring systems. PRISM III 24 score helps us in predicting institutional performance [10,11]. Models like the PRISM III 24 score provide one of the best ways to organize an intensive care unit. PRISM III 24 score takes 24 hours to complete and cannot be used in regulating admissions to the PICU but only to assess illness severity and length of stay [3,12]. The p-SOFA has been developed recently and so far only validated retrospectively in critically ill children [13,14]. Whereas only a few studies have been conducted for validation of p-SOFA and PRISM III in developing countries like Pakistan. An ideal scoring system would be accurate, easy to use, and simple, as well as minimally intrusive and low-cost. However, no scoring system is flawless, and each one has its own set of limitations, which is why studies are being conducted to enhance",1,14,False
**Introduction**,**How to cite this article**,1,15,False
**Introduction**,"Baloch S H, Shaikh I, Gowa M A, et al. (January 09, 2022) Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit. Cureus 14(1): e21055. DOI 10.7759/cureus.21055",1,16,False
**Introduction**,"accuracy, verify existing ones, and develop new ones [15,16]. Therefore, the aim of our study was to assess and compare the diagnostic accuracy of the PRISM III and the p-SOFA for the prediction of mortality in critically ill children.",2,17,False
**Materials And Methods**,"From February to July 2021, cross-validation research was done in the PICU of the National Institute of Child Health (NICH) in Karachi. This study was carried out with the approval of NICH Karachi's Institutional Ethical Review Board, approval number 42/2020, and with the signed informed consent of the children's parents. The sample size was calculated using the diagnostic accuracy sample size calculator by Dr. Lin Naing, with PRISM sensitivity of 70.6%, specificity of 82.3%, a margin of error of 5.2%, 30-day mortality prevalence of 28.1%, and a confidence level of 95%. The sample size was calculated to be 286 [2]. A nonprobability consecutive sampling approach was used to include critically ill children aged one month to 15 years of either gender who had been in the PICU for more than 24 hours. Patients with an underlying congenital deformity who were hospitalized for routine treatment before planned procedures such as intravenous immunoglobulin (IVIG) and hemodialysis, cardiopulmonary resuscitation (CPR) before admission, and children who died within 12 hours of admission were excluded from the research. Within 24 hours of admission, the p-SOFA score was calculated for all eligible children. p-SOFA score of higher than 2 is considered as a predictor of mortality. We calculated PRISM III score within 24 hours after admission, in addition to p-SOFA. A score of higher than 8 on the PRISM III 24 was deemed a predictor of mortality. On a pre-designed proforma, demographic data such as age, weight, type of admission (clinical or medical cases and surgical (post-surgical recovery cases)), length of stay in PICU, need for ventilator support, and inotropic support was also noted by the researcher himself. All of the children were followed up from admission till discharged from the PICU. Mortality within 30 days was the outcome of the study.",2,18,False
**Materials And Methods**,"After collecting data the analyses were conducted by using Statistical Package for Social Sciences (SPSS) version 23 (IBM Corp., Armonk, NY, USA). We presented our numeric data with median and range as they were non-normally distributed. We presented our categorical variables with frequencies and percentages. We compared numeric data with the Mann-Whitney U test and categorical data with the chi-square test to assess the association with mortality. PRISM III 24 and p-SOFA scores were categorized according to the 25th, 50th, and 75th percentiles of these scores. Comparison between categories of PRISM III 24 score and p-SOFA with 30-day mortality were done using Pearsonâ€™s chi-square test. Two by two tables were used to calculate the specificity (Sp), sensitivity (Sn), negative predictive value (NPV), positive predictive value (PPV), and accuracy of PRISM III 24 and p-SOFA scores by taking 30-day mortality as the gold standard. Spearmenâ€™s correlation was applied to assess the relationship between the duration of PICU stay and both scores (PRISM III 24 score and p-SOFA score). A p-value of â‰¤0.05 was taken as statistically significant.",2,19,False
**Results**,We included 286 children in the study. The median age was 24 months (range: 1-144 months). The 30-day mortality was estimated as 57%. The median age of 163 non-survivors was 24 months (range: 2-144 months). Table _1_ displays the other information of non-survivors and survivors.,2,20,False
**Results**,2022 Baloch et al. Cureus 14(1): e21055. DOI 10.7759/cureus.21055,2,21,False
**Results**,2 of 8,2,22,False
**Results**,"||**Mortality**||||
|---|---|---|---|---|
||||**Total**|**p-value**|
||Yes (n=163)|No (n=123)|||
|Age (months)|24 (2-144)|21 (1-144)|24 (1-144)|0.902|
|Weight (kg)|10 (2.2-40)|10 (2.7-47)|10 (2.2-47)|0.578|
|Type of admission|||||
|Clinical|155 (95.1)|108 (87.8)|263 (92)|0.025*|
|Surgical|8 (4.9)|15 (12.2)|23 (8)||
|Ventilator requirement|||||
|Yes|163 (100)|79 (64.2)|242 (84.6)|0.001*|
|No|0|44 (35.8)|44 (15.4)||
|Inotrope Need|||||
|Yes|140 (85.9)|27 (22)|167 (58.4)|0.001*|
|No|23 (14.1)|96 (78)|119 (41.6)||
|p-SOFA score|8 (1-20)|4 (0-14)|6.50  (0-20)|0.001*|
|PRISM III 24 score|10 (0-29)|3 (0-20)|7 (0-29)|0.001*|
|Duration of PICU stay (days)|5 (1-40)|5 (1-39)|5 (1-40)|0.679|",3,23,False
**Results**,"Data expressed as median (range: minimum-maximum), or n (%). *Statistically significant",3,24,False
**TABLE 1: Baseline information of study sample (n=286)**,PRISM: Pediatric Risk of Mortality; p-SOFA: Pediatric Sequential Organ Failure Assessment; PICU: Pediatric Intensive Care Unit,3,25,False
**TABLE 1: Baseline information of study sample (n=286)**,"We found that children who did not survive had a significantly higher p-SOFA score than survivors (8 [range: 1-20] vs 4 [range: 0-14]; p=0.0001; Table _1_ ). We next divided the children into three groups based on the p- SOFA score's 25th, 50th, and 75th percentiles, and found that the frequency of death increased substantially with the p-SOFA score (p=0.001) (Figure _1_ ).",3,26,False
**TABLE 1: Baseline information of study sample (n=286)**,2022 Baloch et al. Cureus 14(1): e21055. DOI 10.7759/cureus.21055,3,27,False
**TABLE 1: Baseline information of study sample (n=286)**,3 of 8,3,28,False
**TABLE 1: Baseline information of study sample (n=286)**,"**FIGURE 1: Frequency distribution of 30-day mortality among the different categories of p-SOFA: The x-axis displays p-SOFA subcategories. Children were categorized based on cut off values corresponding to the 25th, 50th and 75th percentiles in the distribution of p-SOFA scores. The y-axis displays frequency of children that died in subcategory relative to total number of mortalities.**",4,29,False
**TABLE 1: Baseline information of study sample (n=286)**,p-SOFA: Pediatric Sequential Organ Failure Assessment,4,30,False
**TABLE 1: Baseline information of study sample (n=286)**,"We found that PRISM III 24 score was significantly greater in children who did not survive than survivors (10 [range: 0-29] vs 3 [range: 0-20]; p=0.0001; Table _1_ ). We further grouped children based on the 25th, 50th, and 75th percentiles of the PRISM III 24 score, we observed that frequency of mortality increased significantly with the PRISM III 24 score (p=0.001) (Figure _2_ ).",4,31,False
**TABLE 1: Baseline information of study sample (n=286)**,"**FIGURE 2: Frequency of distribution of 30-day mortality among different categories of PRISM III 24: The x-axis displays PRSIM III 24 score subcategories. Children were categorized based on cut off values corresponding to the 25th, 50th and 75th percentiles in the distribution of PRISM III 24 scores. The y-axis displays the frequency of children that died in sub-categories relative to total number of mortalities.**",4,32,False
**TABLE 1: Baseline information of study sample (n=286)**,PRISM: Pediatric Risk of Mortality,4,33,False
